"","FIPS","State","County","PopDensity2010","Households","Pop2010","PCI","MetroNonMetro"
"900",29001,"MO","Adair",45.14,9513,25607,22000,"Nonmetro"
"901",29003,"MO","Andrew",39.96,6807,17291,28027,"Metro"
"902",29005,"MO","Atchison",10.39,2505,5685,29009,"Nonmetro"
"903",29007,"MO","Audrain",36.88,9328,25529,21819,"Nonmetro"
"904",29009,"MO","Barry",45.74,13211,35597,21960,"Nonmetro"
"905",29011,"MO","Barton",20.95,4931,12402,25938,"Nonmetro"
"906",29013,"MO","Bates",20.38,6706,17049,27035,"Metro"
"907",29015,"MO","Benton",27.07,7947,19056,23984,"Nonmetro"
"908",29017,"MO","Bollinger",20.01,4669,12363,20949,"Metro"
"909",29019,"MO","Boone",237.29,69957,162642,29365,"Metro"
"910",29021,"MO","Buchanan",218.62,33432,89201,25419,"Metro"
"911",29023,"MO","Butler",61.6,16357,42794,21286,"Nonmetro"
"912",29025,"MO","Caldwell",22.1,3682,9424,24238,"Metro"
"913",29027,"MO","Callaway",53.12,16038,44332,25069,"Metro"
"914",29029,"MO","Camden",67.08,16096,44002,27385,"Nonmetro"
"915",29031,"MO","Cape Girardeau",130.8,29366,75674,26546,"Metro"
"916",29033,"MO","Carroll",13.38,3552,9295,24597,"Nonmetro"
"917",29035,"MO","Carter",12.35,2366,6265,21884,"Nonmetro"
"918",29037,"MO","Cass",142.76,39444,99478,31675,"Metro"
"919",29039,"MO","Cedar",29.47,5785,13982,22434,"Nonmetro"
"920",29041,"MO","Chariton",10.42,2779,7831,24470,"Nonmetro"
"921",29043,"MO","Christian",137.6,31097,77422,27024,"Metro"
"922",29045,"MO","Clark",14.15,2942,7139,28537,"Nonmetro"
"923",29047,"MO","Clay",558.62,90285,221939,33342,"Metro"
"924",29049,"MO","Clinton",49.51,8157,20743,28216,"Metro"
"925",29051,"MO","Cole",192.99,29749,75990,29433,"Metro"
"926",29053,"MO","Cooper",31.17,6428,17601,22895,"Nonmetro"
"927",29055,"MO","Crawford",33.26,9473,24696,21107,"Nonmetro"
