"","FIPS","State","County","PopDensity2010","Households","Pop2010","PCI","MetroNonMetro","Date","Cases","Deaths","DateAsInteger","Impact"
"81",1007,"AL","Bibb",36.81,6840,22915,20199,"Metro",2020-04-08,9,0,18360,"Low"
"82",1007,"AL","Bibb",36.81,6840,22915,20199,"Metro",2020-04-21,32,0,18373,"Low"
"83",1007,"AL","Bibb",36.81,6840,22915,20199,"Metro",2020-04-11,13,0,18363,"Low"
"84",1007,"AL","Bibb",36.81,6840,22915,20199,"Metro",2020-04-13,17,0,18365,"Low"
"85",1007,"AL","Bibb",36.81,6840,22915,20199,"Metro",2020-04-17,23,0,18369,"Low"
"86",1007,"AL","Bibb",36.81,6840,22915,20199,"Metro",2020-04-23,33,0,18375,"Low"
"87",1007,"AL","Bibb",36.81,6840,22915,20199,"Metro",2020-04-06,7,0,18358,"Low"
"88",1007,"AL","Bibb",36.81,6840,22915,20199,"Metro",2020-04-14,17,0,18366,"Low"
"89",1007,"AL","Bibb",36.81,6840,22915,20199,"Metro",2020-04-22,34,0,18374,"Low"
"90",1007,"AL","Bibb",36.81,6840,22915,20199,"Metro",2020-04-12,16,0,18364,"Low"
"91",1007,"AL","Bibb",36.81,6840,22915,20199,"Metro",2020-04-15,19,0,18367,"Low"
"92",1007,"AL","Bibb",36.81,6840,22915,20199,"Metro",2020-04-20,32,0,18372,"Low"
"93",1007,"AL","Bibb",36.81,6840,22915,20199,"Metro",2020-04-05,7,0,18357,"Low"
"94",1007,"AL","Bibb",36.81,6840,22915,20199,"Metro",2020-04-24,34,0,18376,"Low"
"95",1007,"AL","Bibb",36.81,6840,22915,20199,"Metro",2020-04-19,28,0,18371,"Low"
"96",1007,"AL","Bibb",36.81,6840,22915,20199,"Metro",2020-04-18,26,0,18370,"Low"
"97",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-04-16,18,0,18368,"Low"
"98",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-03-31,5,0,18352,"Low"
"99",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-03-27,5,0,18348,"Low"
"100",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-04-21,26,0,18373,"Low"
"101",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-04-11,12,0,18363,"Low"
"102",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-03-29,5,0,18350,"Low"
"103",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-03-30,5,0,18351,"Low"
"104",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-03-28,5,0,18349,"Low"
"105",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-04-01,5,0,18353,"Low"
"106",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-04-15,17,0,18367,"Low"
"107",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-04-18,20,0,18370,"Low"
"108",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-04-10,12,0,18362,"Low"
"109",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-04-23,31,0,18375,"Low"
"110",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-04-24,31,0,18376,"Low"
"111",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-04-07,10,0,18359,"Low"
"112",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-04-08,10,0,18360,"Low"
"113",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-04-17,20,0,18369,"Low"
"114",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-04-20,22,0,18372,"Low"
"115",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-04-12,13,0,18364,"Low"
"116",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-04-22,29,0,18374,"Low"
"117",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-04-06,10,0,18358,"Low"
"118",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-04-04,10,0,18356,"Low"
"119",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-04-13,15,0,18365,"Low"
"120",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-04-14,16,0,18366,"Low"
"121",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-04-03,9,0,18355,"Low"
"122",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-04-19,21,0,18371,"Low"
"123",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-04-02,6,0,18354,"Low"
"124",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-04-09,11,0,18361,"Low"
"125",1009,"AL","Blount",88.9,20600,57322,22656,"Metro",2020-04-05,10,0,18357,"Low"
"126",1011,"AL","Bullock",17.52,3609,10914,20346,"Nonmetro",2020-04-22,11,0,18374,"Low"
"127",1011,"AL","Bullock",17.52,3609,10914,20346,"Nonmetro",2020-04-24,12,0,18376,"Low"
"128",1011,"AL","Bullock",17.52,3609,10914,20346,"Nonmetro",2020-04-13,6,0,18365,"Low"
"129",1011,"AL","Bullock",17.52,3609,10914,20346,"Nonmetro",2020-04-21,11,0,18373,"Low"
"130",1011,"AL","Bullock",17.52,3609,10914,20346,"Nonmetro",2020-04-23,12,0,18375,"Low"
"131",1011,"AL","Bullock",17.52,3609,10914,20346,"Nonmetro",2020-04-19,9,0,18371,"Low"
